generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,3184,812.3650140931335,997.4076529095263,961.316970034586,32.82830910188737
1,3397,776.0588487197691,954.7610844683561,923.0230147761839,30.070568919731816
2,2817,776.0588487197691,934.7588422609097,902.9949305131032,30.118083542641887
3,2808,766.6508214063949,918.517017435746,885.9857901091954,29.304233453154797
4,2728,766.6508214063949,903.9560772495003,871.4953440370388,28.10638335531148
5,2756,744.1425519876435,890.5672282189732,858.7221639892612,26.53930237272496
6,2745,743.8157812998052,878.4292467078487,847.7152556707856,24.738230443247453
7,2635,743.8157812998052,868.1806980106385,838.9575941460232,22.853787435945506
8,2616,738.6065738557126,858.4630273820443,830.8899699582818,21.489049291685582
9,2692,716.5521842574518,849.0220532586119,824.1537436512632,20.76368910707103
