generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,duration
0,914,1495.4228549146237,2107.346723026574,1756.3764560475067,77.3170177868734,0.6602220000000001
1,923,1495.4228549146237,2049.165178655985,1719.1879401586543,70.99006514518983,1.054074
2,896,1495.4228549146237,2095.626086307317,1695.6079281515508,73.81842902232037,1.437967
3,886,1456.0457540603804,2115.340741603502,1674.3220622321135,74.30741691745668,1.8059090000000002
4,899,1456.0457540603804,2026.4565544694815,1656.8313021033591,75.26789429045151,2.1858679999999997
5,919,1456.0457540603804,2029.5874110760017,1642.2965452532992,82.98280953141366,2.5664450000000003
6,908,1456.0457540603804,2176.7474995359917,1623.4696005618432,79.96598120538282,2.9372069999999995
7,895,1388.1936085749578,2069.4154362381755,1607.9072363501239,79.19229405224416,3.3080279999999997
8,894,1388.1936085749578,2028.494223576637,1599.6747381944183,92.31833839147669,3.6829569999999996
9,919,1388.1936085749578,2063.8597707326817,1586.907664009754,94.02012585424454,4.060617000000001
10,915,1386.264818725902,2058.204162215542,1572.5648116413888,94.75032407013781,4.450862000000001
11,897,1386.264818725902,2059.2764873466645,1559.7308236817385,94.79430899974324,4.822566999999999
12,914,1386.264818725902,2058.2588032395433,1549.8540559800426,94.44122662434768,5.197138000000001
13,905,1386.264818725902,2159.9429756431355,1538.1442697157806,93.00032494907698,5.564004000000001
14,895,1378.84635028137,2040.9118947688398,1528.793357034963,99.21733909312452,5.927904999999999
15,895,1378.84635028137,2061.918374837613,1525.4033017953452,108.85591965070276,6.294986
16,904,1378.84635028137,2023.3051668778003,1514.0526291113956,99.6117114295985,6.661771
17,886,1378.84635028137,2022.589827627025,1510.4288590126578,102.33850137992918,7.026152999999999
18,903,1378.84635028137,2115.849271399488,1506.6862684540904,112.34972849935637,7.396277999999999
19,901,1378.84635028137,2064.5741930242602,1496.5194190448094,119.03025204696193,7.773463999999999
20,903,1378.84635028137,2042.988772908916,1481.3866338743717,105.56901381660542,8.14861
21,901,1378.84635028137,2042.932775226272,1478.7065752166393,111.0609121371971,8.512685999999999
22,891,1378.84635028137,2062.4594749180424,1475.1764017417147,112.14084875255911,8.891235
23,916,1378.84635028137,2062.349414484727,1470.0209332331915,119.80857954946218,9.266159
24,904,1378.84635028137,2018.5335241064295,1457.848383082095,123.9302182785689,9.637941
25,893,1378.84635028137,1987.512639451998,1440.3828654659403,121.96164357414575,10.003734
26,898,1378.84635028137,2079.1874971773086,1431.4499029412957,131.86166433855166,10.409308
27,893,1378.84635028137,2024.5232754432063,1428.7121316892767,138.90820872804852,10.791177
28,900,1378.84635028137,2040.7934655454076,1424.5220609838248,137.2631949664154,11.165576
29,907,1378.84635028137,2076.9159538734734,1421.8464531378934,136.03442569251098,11.535533
30,912,1378.84635028137,2020.6107243433341,1420.7706206336106,131.88364739943808,11.906177999999999
31,883,1350.8745174292492,2029.844698360425,1419.205084025048,131.8798157890463,12.272912
32,899,1350.8745174292492,2072.3941564718148,1415.4125155744641,125.30176520218339,12.653055
33,899,1350.8745174292492,2074.567998766495,1416.4150464228564,125.45402402951133,13.027247
34,906,1350.8745174292492,2074.567998766495,1414.9041651988675,126.18600849928535,13.394516
35,900,1350.8745174292492,2112.113788204726,1417.741078309743,130.61860201743536,13.761817999999998
36,901,1350.8745174292492,2118.2849084156583,1422.6896170148284,136.3290575701568,14.162037999999999
37,886,1350.8745174292492,2086.344453637255,1423.3012749329641,136.08988986961344,14.536518000000001
38,889,1350.8745174292492,2045.766351365181,1420.6595703053829,133.56947285376523,14.907677
39,926,1350.8745174292492,2107.4106941405794,1414.9462177203834,127.0433088112193,15.303505999999999
40,904,1350.8745174292492,2051.667173777476,1423.2352820417077,138.04074617202645,15.692853
41,922,1350.8745174292492,2067.9587610777453,1422.5004675846305,136.88260378710382,16.06748
42,903,1350.8745174292492,2087.8127014845077,1415.1754355492103,128.97865297615735,16.432477
43,899,1350.8745174292492,2049.434049778691,1414.890743561696,129.99995804111728,16.794933999999998
44,909,1350.8745174292492,2089.9749024467815,1410.0796566060274,121.94979351987313,17.157428
45,911,1350.8745174292492,2031.3172110274127,1419.43541615471,140.33099632549036,17.530697
46,900,1350.8745174292492,2027.2678026133685,1415.3226772757453,142.8011695061488,17.896957999999998
47,933,1350.8745174292492,2018.2000398996342,1403.7646551177722,131.51535537613637,18.268093
48,903,1350.8745174292492,2099.0886594253716,1401.3280854315644,140.83166131174715,18.635099
49,907,1350.8745174292492,2076.840505670893,1397.8525464036695,143.11105421670825,19.006947
50,904,1350.8745174292492,2047.8687338537113,1397.2991112308719,143.90591435939183,19.385256
51,906,1350.8745174292492,2047.8687338537113,1392.4029744810268,134.9219426828018,19.755723
52,890,1350.8745174292492,2078.766330527219,1395.71335121677,140.71772040671698,20.124012
53,907,1350.8745174292492,2091.260186359108,1394.0373242604514,139.24459725332304,20.488437
54,910,1350.8745174292492,2100.932979278691,1390.0135898710168,134.09666626891138,20.852003
55,889,1350.8745174292492,2122.154123522446,1391.4031806274338,136.15224423845217,21.210539
56,885,1348.1081246328474,2037.287242534597,1390.7287392121211,129.7284397641513,21.571675
57,915,1338.4398283533349,2016.695660596561,1389.8274696786677,132.30269113491386,21.93574
58,922,1338.4398283533349,2028.1182115764707,1392.2559882896735,134.19872836904966,22.312485
59,907,1338.4398283533349,2064.106161449912,1389.8268689968068,130.74158400846977,22.675076999999998
60,909,1338.4398283533349,2038.4365449341403,1395.039752475561,140.3239708913141,23.042607999999998
61,902,1301.5467508984796,2072.5692059954267,1389.4264730543698,131.50179749176783,23.403451
62,890,1301.5467508984796,2029.6120844858021,1399.0702256988127,145.61034898072683,23.766338
63,913,1301.5467508984796,2012.9434600371892,1395.351239291585,140.5960294860179,24.135344
64,890,1301.5467508984796,2022.000253395569,1397.4322992441303,143.1902688790285,24.499146
65,893,1301.5467508984796,2063.8974656213495,1390.6927503053323,137.14826225740936,24.860751
66,913,1301.5467508984796,2059.459467358556,1387.6343009319883,131.93034100694078,25.226612
67,899,1301.5467508984796,2050.198290972873,1395.0291605275704,146.6412756992354,25.593396
68,906,1301.5467508984796,2025.9397335933922,1394.460876508536,146.25883471780494,25.966607
69,914,1301.5467508984796,2077.801837227957,1385.4664352048255,133.83578144345412,26.336176
70,895,1293.0305169581115,1999.6501106114956,1382.5841375666257,135.11973632091573,26.704448
71,885,1293.0305169581115,2020.3286254060597,1380.860272982319,136.7071609989836,27.064947
72,897,1293.0305169581115,2075.6254746639484,1386.4887814889591,149.3708913256923,27.430578999999998
73,905,1293.0305169581115,1992.9513554244752,1379.770675060327,142.82630044128715,27.794539
74,900,1293.0305169581115,1996.9679291018745,1375.6166767462423,138.36972551271006,28.155113
75,910,1293.0305169581115,2043.450330542325,1375.768808757706,148.83958765787668,28.522626
76,884,1293.0305169581115,2078.905822979646,1372.073898397359,153.53769882742733,28.895744
77,884,1292.3627605187373,2031.4559521774627,1364.7912450070057,154.29077995458567,29.258772
78,889,1275.3305098864134,2108.809026503999,1357.9502727176423,162.14392850599464,29.623929
79,899,1275.3305098864134,2108.809026503999,1353.38092477339,159.63638232817442,29.990766999999998
80,906,1275.3305098864134,2113.761745194692,1350.800678883583,158.12147097375947,30.357681999999997
81,917,1275.3305098864134,2011.3744438980655,1344.5716464952582,146.61008538597696,30.723799
82,924,1275.3305098864134,2016.4650648363688,1352.0809820833767,156.44720808517258,31.094406
83,893,1275.3305098864134,2044.6936051028454,1356.7720773436706,163.42478042998243,31.461906999999997
84,921,1272.2177415914264,2002.7874588286465,1345.4204875306264,149.58304349787863,31.827697
85,910,1272.2177415914264,2043.0678070828826,1357.4206078733453,169.3857553897467,32.200007
86,888,1263.738456707767,2011.7025434100487,1347.4664042447134,153.38195644331466,32.56076
87,899,1263.738456707767,2100.4199666052687,1339.4584483003714,147.27324702939592,32.920013
88,914,1263.738456707767,2024.6634735778566,1336.467975277528,142.86526192081777,33.281088
89,896,1263.738456707767,2026.9235762190976,1345.9741327499785,163.81254917163358,33.645058
90,910,1263.738456707767,1993.346471845427,1346.2016099239206,161.64372264293664,34.016776
91,885,1263.738456707767,1993.346471845427,1342.0894654586339,157.44051952753875,34.374873
92,874,1263.738456707767,2059.869258957342,1339.4646487068987,157.61732070870394,34.729316
93,891,1263.738456707767,2030.2562214934092,1337.5294899300584,160.25712277192537,35.089843
94,893,1263.738456707767,2043.408551109504,1325.0875817765939,143.5251956880087,35.447205
95,904,1263.738456707767,2097.996949923017,1331.2749433202741,164.28336504819796,35.823627
96,912,1240.9569067145146,2065.355047575151,1321.338158135501,157.92935532816804,36.189861
97,905,1240.9569067145146,2065.355047575151,1319.5575802519688,160.6858785169045,36.556115
98,912,1240.9569067145146,2065.355047575151,1317.3720291439072,157.83030348800358,36.922506999999996
99,909,1240.9569067145146,2073.6869194480355,1316.4225202070666,167.05309383582073,37.290807
